time,l_leg_ankle_pitch_joint,l_leg_ankle_roll_joint,r_leg_ankle_pitch_joint,r_leg_ankle_roll_joint
0.000000,-0.172000,0.000000,-0.172000,0.000000
0.002000,-0.171058,0.000377,-0.171058,0.000377
0.004000,-0.170115,0.000754,-0.170115,0.000754
0.006000,-0.169173,0.001131,-0.169173,0.001131
0.008000,-0.168230,0.001508,-0.168230,0.001508
0.010000,-0.167288,0.001885,-0.167288,0.001885
0.012000,-0.166346,0.002262,-0.166346,0.002262
0.014000,-0.165405,0.002639,-0.165405,0.002639
0.016000,-0.164463,0.003016,-0.164463,0.003016
0.018000,-0.163522,0.003392,-0.163522,0.003392
0.020000,-0.162581,0.003769,-0.162581,0.003769
0.022000,-0.161641,0.004146,-0.161641,0.004146
0.024000,-0.160701,0.004523,-0.160701,0.004523
0.026000,-0.159761,0.004900,-0.159761,0.004900
0.028000,-0.158822,0.005276,-0.158822,0.005276
0.030000,-0.157884,0.005653,-0.157884,0.005653
0.032000,-0.156946,0.006029,-0.156946,0.006029
0.034000,-0.156008,0.006406,-0.156008,0.006406
0.036000,-0.155072,0.006782,-0.155072,0.006782
0.038000,-0.154135,0.007159,-0.154135,0.007159
0.040000,-0.153200,0.007535,-0.153200,0.007535
0.042000,-0.152265,0.007911,-0.152265,0.007911
0.044000,-0.151331,0.008287,-0.151331,0.008287
0.046000,-0.150398,0.008663,-0.150398,0.008663
0.048000,-0.149466,0.009039,-0.149466,0.009039
0.050000,-0.148535,0.009415,-0.148535,0.009415
0.052000,-0.147604,0.009791,-0.147604,0.009791
0.054000,-0.146675,0.010167,-0.146675,0.010167
0.056000,-0.145747,0.010542,-0.145747,0.010542
0.058000,-0.144819,0.010918,-0.144819,0.010918
0.060000,-0.143893,0.011293,-0.143893,0.011293
0.062000,-0.142968,0.011668,-0.142968,0.011668
0.064000,-0.142044,0.012043,-0.142044,0.012043
0.066000,-0.141121,0.012418,-0.141121,0.012418
0.068000,-0.140199,0.012793,-0.140199,0.012793
0.070000,-0.139279,0.013168,-0.139279,0.013168
0.072000,-0.138359,0.013543,-0.138359,0.013543
0.074000,-0.137442,0.013917,-0.137442,0.013917
0.076000,-0.136525,0.014292,-0.136525,0.014292
0.078000,-0.135610,0.014666,-0.135610,0.014666
0.080000,-0.134697,0.015040,-0.134697,0.015040
0.082000,-0.133784,0.015414,-0.133784,0.015414
0.084000,-0.132874,0.015788,-0.132874,0.015788
0.086000,-0.131965,0.016161,-0.131965,0.016161
0.088000,-0.131057,0.016535,-0.131057,0.016535
0.090000,-0.130151,0.016908,-0.130151,0.016908
0.092000,-0.129247,0.017281,-0.129247,0.017281
0.094000,-0.128345,0.017654,-0.128345,0.017654
0.096000,-0.127444,0.018027,-0.127444,0.018027
0.098000,-0.126545,0.018400,-0.126545,0.018400
0.100000,-0.125647,0.018772,-0.125647,0.018772
0.102000,-0.124752,0.019144,-0.124752,0.019144
0.104000,-0.123858,0.019516,-0.123858,0.019516
0.106000,-0.122967,0.019888,-0.122967,0.019888
0.108000,-0.122077,0.020260,-0.122077,0.020260
0.110000,-0.121189,0.020631,-0.121189,0.020631
0.112000,-0.120304,0.021003,-0.120304,0.021003
0.114000,-0.119420,0.021374,-0.119420,0.021374
0.116000,-0.118538,0.021745,-0.118538,0.021745
0.118000,-0.117659,0.022115,-0.117659,0.022115
0.120000,-0.116781,0.022486,-0.116781,0.022486
0.122000,-0.115906,0.022856,-0.115906,0.022856
0.124000,-0.115033,0.023226,-0.115033,0.023226
0.126000,-0.114162,0.023596,-0.114162,0.023596
0.128000,-0.113294,0.023965,-0.113294,0.023965
0.130000,-0.112428,0.024334,-0.112428,0.024334
0.132000,-0.111564,0.024704,-0.111564,0.024704
0.134000,-0.110703,0.025072,-0.110703,0.025072
0.136000,-0.109844,0.025441,-0.109844,0.025441
0.138000,-0.108987,0.025809,-0.108987,0.025809
0.140000,-0.108133,0.026177,-0.108133,0.026177
0.142000,-0.107282,0.026545,-0.107282,0.026545
0.144000,-0.106433,0.026912,-0.106433,0.026912
0.146000,-0.105586,0.027280,-0.105586,0.027280
0.148000,-0.104743,0.027647,-0.104743,0.027647
0.150000,-0.103901,0.028013,-0.103901,0.028013
0.152000,-0.103063,0.028380,-0.103063,0.028380
0.154000,-0.102227,0.028746,-0.102227,0.028746
0.156000,-0.101394,0.029112,-0.101394,0.029112
0.158000,-0.100564,0.029477,-0.100564,0.029477
0.160000,-0.099737,0.029843,-0.099737,0.029843
0.162000,-0.098912,0.030208,-0.098912,0.030208
0.164000,-0.098091,0.030572,-0.098091,0.030572
0.166000,-0.097272,0.030937,-0.097272,0.030937
0.168000,-0.096457,0.031301,-0.096457,0.031301
0.170000,-0.095644,0.031665,-0.095644,0.031665
0.172000,-0.094834,0.032028,-0.094834,0.032028
0.174000,-0.094027,0.032391,-0.094027,0.032391
0.176000,-0.093224,0.032754,-0.093224,0.032754
0.178000,-0.092423,0.033117,-0.092423,0.033117
0.180000,-0.091626,0.033479,-0.091626,0.033479
0.182000,-0.090832,0.033841,-0.090832,0.033841
0.184000,-0.090041,0.034202,-0.090041,0.034202
0.186000,-0.089253,0.034563,-0.089253,0.034563
0.188000,-0.088469,0.034924,-0.088469,0.034924
0.190000,-0.087687,0.035285,-0.087687,0.035285
0.192000,-0.086910,0.035645,-0.086910,0.035645
0.194000,-0.086135,0.036005,-0.086135,0.036005
0.196000,-0.085364,0.036364,-0.085364,0.036364
0.198000,-0.084596,0.036723,-0.084596,0.036723
0.200000,-0.083832,0.037082,-0.083832,0.037082
0.202000,-0.083071,0.037440,-0.083071,0.037440
0.204000,-0.082314,0.037798,-0.082314,0.037798
0.206000,-0.081561,0.038156,-0.081561,0.038156
0.208000,-0.080810,0.038513,-0.080810,0.038513
0.210000,-0.080064,0.038870,-0.080064,0.038870
0.212000,-0.079321,0.039227,-0.079321,0.039227
0.214000,-0.078582,0.039583,-0.078582,0.039583
0.216000,-0.077846,0.039938,-0.077846,0.039938
0.218000,-0.077114,0.040294,-0.077114,0.040294
0.220000,-0.076386,0.040649,-0.076386,0.040649
0.222000,-0.075662,0.041003,-0.075662,0.041003
0.224000,-0.074942,0.041357,-0.074942,0.041357
0.226000,-0.074225,0.041711,-0.074225,0.041711
0.228000,-0.073512,0.042064,-0.073512,0.042064
0.230000,-0.072803,0.042417,-0.072803,0.042417
0.232000,-0.072098,0.042769,-0.072098,0.042769
0.234000,-0.071397,0.043121,-0.071397,0.043121
0.236000,-0.070700,0.043473,-0.070700,0.043473
0.238000,-0.070007,0.043824,-0.070007,0.043824
0.240000,-0.069318,0.044175,-0.069318,0.044175
0.242000,-0.068633,0.044525,-0.068633,0.044525
0.244000,-0.067952,0.044875,-0.067952,0.044875
0.246000,-0.067275,0.045225,-0.067275,0.045225
0.248000,-0.066603,0.045573,-0.066603,0.045573
0.250000,-0.065934,0.045922,-0.065934,0.045922
0.252000,-0.065270,0.046270,-0.065270,0.046270
0.254000,-0.064610,0.046618,-0.064610,0.046618
0.256000,-0.063954,0.046965,-0.063954,0.046965
0.258000,-0.063302,0.047312,-0.063302,0.047312
0.260000,-0.062655,0.047658,-0.062655,0.047658
0.262000,-0.062012,0.048003,-0.062012,0.048003
0.264000,-0.061373,0.048349,-0.061373,0.048349
0.266000,-0.060739,0.048694,-0.060739,0.048694
0.268000,-0.060109,0.049038,-0.060109,0.049038
0.270000,-0.059483,0.049382,-0.059483,0.049382
0.272000,-0.058862,0.049725,-0.058862,0.049725
0.274000,-0.058246,0.050068,-0.058246,0.050068
0.276000,-0.057634,0.050410,-0.057634,0.050410
0.278000,-0.057026,0.050752,-0.057026,0.050752
0.280000,-0.056423,0.051094,-0.056423,0.051094
0.282000,-0.055825,0.051434,-0.055825,0.051434
0.284000,-0.055231,0.051775,-0.055231,0.051775
0.286000,-0.054641,0.052115,-0.054641,0.052115
0.288000,-0.054057,0.052454,-0.054057,0.052454
0.290000,-0.053477,0.052793,-0.053477,0.052793
0.292000,-0.052901,0.053131,-0.052901,0.053131
0.294000,-0.052331,0.053469,-0.052331,0.053469
0.296000,-0.051765,0.053806,-0.051765,0.053806
0.298000,-0.051204,0.054143,-0.051204,0.054143
0.300000,-0.050647,0.054479,-0.050647,0.054479
0.302000,-0.050096,0.054814,-0.050096,0.054814
0.304000,-0.049549,0.055150,-0.049549,0.055150
0.306000,-0.049007,0.055484,-0.049007,0.055484
0.308000,-0.048470,0.055818,-0.048470,0.055818
0.310000,-0.047938,0.056152,-0.047938,0.056152
0.312000,-0.047411,0.056484,-0.047411,0.056484
0.314000,-0.046888,0.056817,-0.046888,0.056817
0.316000,-0.046371,0.057149,-0.046371,0.057149
0.318000,-0.045858,0.057480,-0.045858,0.057480
0.320000,-0.045351,0.057810,-0.045351,0.057810
0.322000,-0.044848,0.058141,-0.044848,0.058141
0.324000,-0.044351,0.058470,-0.044351,0.058470
0.326000,-0.043858,0.058799,-0.043858,0.058799
0.328000,-0.043371,0.059127,-0.043371,0.059127
0.330000,-0.042889,0.059455,-0.042889,0.059455
0.332000,-0.042411,0.059782,-0.042411,0.059782
0.334000,-0.041939,0.060109,-0.041939,0.060109
0.336000,-0.041472,0.060435,-0.041472,0.060435
0.338000,-0.041011,0.060760,-0.041011,0.060760
0.340000,-0.040554,0.061085,-0.040554,0.061085
0.342000,-0.040103,0.061409,-0.040103,0.061409
0.344000,-0.039656,0.061733,-0.039656,0.061733
0.346000,-0.039215,0.062056,-0.039215,0.062056
0.348000,-0.038780,0.062378,-0.038780,0.062378
0.350000,-0.038349,0.062700,-0.038349,0.062700
