time,l_leg_ankle_pitch_joint,l_leg_ankle_roll_joint,r_leg_ankle_pitch_joint,r_leg_ankle_roll_joint
0.202000,-0.134331,0.015190,-0.134331,0.015190
0.204000,-0.133967,0.015339,-0.133967,0.015339
0.206000,-0.133602,0.015489,-0.133602,0.015489
0.208000,-0.133238,0.015638,-0.133238,0.015638
0.210000,-0.132874,0.015788,-0.132874,0.015788
0.212000,-0.132510,0.015937,-0.132510,0.015937
0.214000,-0.132146,0.016087,-0.132146,0.016087
0.216000,-0.131783,0.016236,-0.131783,0.016236
0.218000,-0.131420,0.016385,-0.131420,0.016385
0.220000,-0.131057,0.016535,-0.131057,0.016535
0.222000,-0.130695,0.016684,-0.130695,0.016684
0.224000,-0.130332,0.016833,-0.130332,0.016833
0.226000,-0.129970,0.016983,-0.129970,0.016983
0.228000,-0.129609,0.017132,-0.129609,0.017132
0.230000,-0.129247,0.017281,-0.129247,0.017281
0.232000,-0.128886,0.017431,-0.128886,0.017431
0.234000,-0.128525,0.017580,-0.128525,0.017580
0.236000,-0.128164,0.017729,-0.128164,0.017729
0.238000,-0.127804,0.017878,-0.127804,0.017878
0.240000,-0.127444,0.018027,-0.127444,0.018027
0.242000,-0.127084,0.018176,-0.127084,0.018176
0.244000,-0.126724,0.018325,-0.126724,0.018325
0.246000,-0.126365,0.018474,-0.126365,0.018474
0.248000,-0.126006,0.018623,-0.126006,0.018623
0.250000,-0.125647,0.018772,-0.125647,0.018772
0.252000,-0.125289,0.018921,-0.125289,0.018921
0.254000,-0.124931,0.019070,-0.124931,0.019070
0.256000,-0.124573,0.019219,-0.124573,0.019219
0.258000,-0.124216,0.019368,-0.124216,0.019368
0.260000,-0.123858,0.019516,-0.123858,0.019516
0.262000,-0.123502,0.019665,-0.123502,0.019665
0.264000,-0.123145,0.019814,-0.123145,0.019814
0.266000,-0.122789,0.019963,-0.122789,0.019963
0.268000,-0.122433,0.020111,-0.122433,0.020111
0.270000,-0.122077,0.020260,-0.122077,0.020260
0.272000,-0.121722,0.020409,-0.121722,0.020409
0.274000,-0.121367,0.020557,-0.121367,0.020557
0.276000,-0.121012,0.020706,-0.121012,0.020706
0.278000,-0.120658,0.020854,-0.120658,0.020854
0.280000,-0.120304,0.021003,-0.120304,0.021003
0.282000,-0.119950,0.021151,-0.119950,0.021151
0.284000,-0.119596,0.021300,-0.119596,0.021300
0.286000,-0.119243,0.021448,-0.119243,0.021448
0.288000,-0.118891,0.021596,-0.118891,0.021596
0.290000,-0.118538,0.021745,-0.118538,0.021745
0.292000,-0.118186,0.021893,-0.118186,0.021893
0.294000,-0.117834,0.022041,-0.117834,0.022041
0.296000,-0.117483,0.022189,-0.117483,0.022189
0.298000,-0.117132,0.022338,-0.117132,0.022338
0.300000,-0.116781,0.022486,-0.116781,0.022486
0.302000,-0.116431,0.022634,-0.116431,0.022634
0.304000,-0.116081,0.022782,-0.116081,0.022782
0.306000,-0.115731,0.022930,-0.115731,0.022930
0.308000,-0.115382,0.023078,-0.115382,0.023078
0.310000,-0.115033,0.023226,-0.115033,0.023226
0.312000,-0.114685,0.023374,-0.114685,0.023374
0.314000,-0.114336,0.023522,-0.114336,0.023522
0.316000,-0.113989,0.023670,-0.113989,0.023670
0.318000,-0.113641,0.023817,-0.113641,0.023817
0.320000,-0.113294,0.023965,-0.113294,0.023965
0.322000,-0.112947,0.024113,-0.112947,0.024113
0.324000,-0.112601,0.024261,-0.112601,0.024261
0.326000,-0.112255,0.024408,-0.112255,0.024408
0.328000,-0.111909,0.024556,-0.111909,0.024556
0.330000,-0.111564,0.024704,-0.111564,0.024704
0.332000,-0.111219,0.024851,-0.111219,0.024851
0.334000,-0.110875,0.024999,-0.110875,0.024999
0.336000,-0.110531,0.025146,-0.110531,0.025146
0.338000,-0.110187,0.025293,-0.110187,0.025293
0.340000,-0.109844,0.025441,-0.109844,0.025441
0.342000,-0.109501,0.025588,-0.109501,0.025588
0.344000,-0.109158,0.025736,-0.109158,0.025736
0.346000,-0.108816,0.025883,-0.108816,0.025883
0.348000,-0.108474,0.026030,-0.108474,0.026030
0.350000,-0.108133,0.026177,-0.108133,0.026177
0.352000,-0.107792,0.026324,-0.107792,0.026324
0.354000,-0.107452,0.026471,-0.107452,0.026471
0.356000,-0.107112,0.026618,-0.107112,0.026618
0.358000,-0.106772,0.026766,-0.106772,0.026766
0.360000,-0.106433,0.026912,-0.106433,0.026912
0.362000,-0.106094,0.027059,-0.106094,0.027059
0.364000,-0.105755,0.027206,-0.105755,0.027206
0.366000,-0.105417,0.027353,-0.105417,0.027353
0.368000,-0.105080,0.027500,-0.105080,0.027500
0.370000,-0.104743,0.027647,-0.104743,0.027647
0.372000,-0.104406,0.027793,-0.104406,0.027793
0.374000,-0.104069,0.027940,-0.104069,0.027940
0.376000,-0.103734,0.028087,-0.103734,0.028087
0.378000,-0.103398,0.028233,-0.103398,0.028233
0.380000,-0.103063,0.028380,-0.103063,0.028380
0.382000,-0.102728,0.028526,-0.102728,0.028526
0.384000,-0.102394,0.028673,-0.102394,0.028673
0.386000,-0.102061,0.028819,-0.102061,0.028819
0.388000,-0.101727,0.028966,-0.101727,0.028966
0.390000,-0.101394,0.029112,-0.101394,0.029112
0.392000,-0.101062,0.029258,-0.101062,0.029258
0.394000,-0.100730,0.029404,-0.100730,0.029404
0.396000,-0.100399,0.029551,-0.100399,0.029551
0.398000,-0.100068,0.029697,-0.100068,0.029697
0.400000,-0.099737,0.029843,-0.099737,0.029843
0.402000,-0.099407,0.029989,-0.099407,0.029989
0.404000,-0.099077,0.030135,-0.099077,0.030135
0.406000,-0.098748,0.030281,-0.098748,0.030281
0.408000,-0.098419,0.030427,-0.098419,0.030427
0.410000,-0.098091,0.030572,-0.098091,0.030572
0.412000,-0.097763,0.030718,-0.097763,0.030718
0.414000,-0.097436,0.030864,-0.097436,0.030864
0.416000,-0.097109,0.031010,-0.097109,0.031010
0.418000,-0.096782,0.031155,-0.096782,0.031155
0.420000,-0.096457,0.031301,-0.096457,0.031301
0.422000,-0.096131,0.031447,-0.096131,0.031447
0.424000,-0.095806,0.031592,-0.095806,0.031592
0.426000,-0.095482,0.031737,-0.095482,0.031737
0.428000,-0.095158,0.031883,-0.095158,0.031883
0.430000,-0.094834,0.032028,-0.094834,0.032028
0.432000,-0.094511,0.032174,-0.094511,0.032174
0.434000,-0.094188,0.032319,-0.094188,0.032319
0.436000,-0.093866,0.032464,-0.093866,0.032464
0.438000,-0.093545,0.032609,-0.093545,0.032609
0.440000,-0.093224,0.032754,-0.093224,0.032754
0.442000,-0.092903,0.032899,-0.092903,0.032899
0.444000,-0.092583,0.033044,-0.092583,0.033044
