time,waist_roll_joint,waist_pitch_joint
0.370000,0.040211,0.078258
0.372000,0.040424,0.078649
0.374000,0.040637,0.079041
0.376000,0.040851,0.079432
0.378000,0.041064,0.079822
0.380000,0.041277,0.080212
0.382000,0.041490,0.080601
0.384000,0.041703,0.080990
0.386000,0.041916,0.081378
0.388000,0.042129,0.081766
0.390000,0.042342,0.082153
0.392000,0.042554,0.082540
0.394000,0.042767,0.082926
0.396000,0.042980,0.083312
0.398000,0.043192,0.083697
0.400000,0.043405,0.084082
0.402000,0.043617,0.084466
0.404000,0.043829,0.084850
0.406000,0.044042,0.085233
0.408000,0.044254,0.085615
0.410000,0.044466,0.085997
0.412000,0.044678,0.086379
0.414000,0.044890,0.086759
0.416000,0.045102,0.087140
0.418000,0.045314,0.087520
0.420000,0.045525,0.087899
0.422000,0.045737,0.088278
0.424000,0.045949,0.088656
0.426000,0.046160,0.089033
0.428000,0.046372,0.089410
0.430000,0.046583,0.089787
0.432000,0.046795,0.090163
0.434000,0.047006,0.090538
0.436000,0.047217,0.090913
0.438000,0.047428,0.091287
0.440000,0.047639,0.091660
0.442000,0.047850,0.092033
0.444000,0.048061,0.092406
0.446000,0.048272,0.092778
0.448000,0.048482,0.093149
0.450000,0.048693,0.093519
0.452000,0.048904,0.093889
0.454000,0.049114,0.094259
0.456000,0.049325,0.094628
0.458000,0.049535,0.094996
0.460000,0.049745,0.095364
0.462000,0.049955,0.095731
0.464000,0.050166,0.096097
0.466000,0.050376,0.096463
0.468000,0.050586,0.096828
0.470000,0.050795,0.097193
0.472000,0.051005,0.097557
0.474000,0.051215,0.097921
0.476000,0.051425,0.098283
0.478000,0.051634,0.098646
0.480000,0.051844,0.099007
0.482000,0.052053,0.099368
0.484000,0.052262,0.099728
0.486000,0.052471,0.100088
0.488000,0.052681,0.100447
0.490000,0.052890,0.100805
0.492000,0.053099,0.101163
0.494000,0.053307,0.101520
0.496000,0.053516,0.101877
0.498000,0.053725,0.102233
0.500000,0.053934,0.102588
0.502000,0.054142,0.102942
0.504000,0.054351,0.103296
0.506000,0.054559,0.103650
0.508000,0.054767,0.104002
